0
team      round score goal  fan
firenze   14    32    26    108
marsiglia 14    22    26    98
milano    14    20    24    94
turino    14    20    22    92
genoa     14    17    19    86
tunisia   14    17    18    85
venezia   14    16    19    85
bologna   14    10    15    75
name           goal   team
keegan         6      milano
bergkemp       5      firenze
ronaldo        4      milano
rivera         4      turino
careca         4      turino
donadoni       4      turino
zico           4      venezia
socrates       4      venezia
zidane         4      marsiglia
matthaeus      4      marsiglia
name           assist team
desaily        7      marsiglia
p.rossi        6      firenze
keegan         5      milano
hurst          5      milano
daglish        4      genoa
beckenbauer    4      tunisia
garrincha      4      venezia
vieri          4      bologna
r.baggio       4      venezia
cabrini        4      firenze
name           score  team
kopa           65      bologna
g.muller       64      turino
keegan         64      milano
rivera         63      turino
raul           62      turino
careca         62      turino
donadoni       61      turino
ronaldo        61      milano
garrincha      61      venezia
b.chalton      61      bologna
score 20 goal 22 number of fans 83
zenga          0     0     6.300000000000001

beckenbauer    3     3     6.800000000000001

nedved         3     1     6.5

zidane         4     1     6.7

ballack        1     0     6.0

matthaeus      0     5     6.300000000000001

hagi           2     0     6.0

desaily        3     2     6.300000000000001

h.shanchez     0     1     6.1000000000000005

neeskens       1     2     6.300000000000001

r.keane        3     5     6.7

score 17 goal 20 number of fans 80
zoff           0     0     6.0

gullit         0     1     6.4

maldini        1     2     6.300000000000001

b.moore        3     0     6.4

r.koeman       0     1     6.2

owen           3     2     6.7

p.falcao       1     0     6.1000000000000005

stoichkov      0     3     6.4

shevchenko     0     3     6.800000000000001

deisler        4     1     6.5

stam           1     0     6.2

score 15 goal 13 number of fans 60
schmeichel     0     0     6.4

maradona       3     5     6.5

beckham        4     2     6.2

klinsman       3     2     6.5

didi           2     1     6.4

brehme         2     2     6.2

batistuta      0     1     6.1000000000000005

cabrini        2     3     6.5

p.rossi        0     0     6.2

puskas         3     1     6.6000000000000005

bergkemp       1     3     6.5

score 26 goal 20 number of fans 83
kahn           0     0     6.2

cantona        4     5     6.800000000000001

ronaldo        1     3     6.2

conti          2     1     6.4

facchetti      1     2     6.300000000000001

rivera         0     0     6.0

keegan         3     0     6.5

d.stifano      1     2     6.4

hurst          1     1     6.1000000000000005

kaka           3     1     6.6000000000000005

blanc          3     4     6.6000000000000005

score 20 goal 19 number of fans 74
gascoigne from turino to venezia
bierhoff from venezia to turino
vialli from bologna to barcelona
crespo from barcelona to bologna
matthaeus from marsiglia to genoa
stoichkov from genoa to marsiglia
batistuta from firenze to milano
blanc from milano to firenze
4
team      round score goal  fan
turino    14    27    19    102
marsiglia 14    23    17    93
firenze   14    23    15    93
milano    14    18    19    86
venezia   14    17    15    81
genoa     14    17    13    70
bologna   14    16    18    82
barcelona 14    14    15    84
name           goal   team
daglish        5      turino
desaily        4      marsiglia
kempes         4      venezia
canavaro       4      bologna
mancini        3      bologna
crespo         3      bologna
p.falcao       3      genoa
klinsman       3      firenze
careca         3      turino
tostao         3      barcelona
name           assist team
didi           6      firenze
daglish        5      turino
crespo         4      bologna
kempes         4      venezia
conti          4      milano
garrincha      4      venezia
neeskens       4      marsiglia
tostao         3      barcelona
cantona        3      milano
beckenbauer    3      marsiglia
name           score  team
didi           69      firenze
daglish        68      turino
desaily        68      marsiglia
g.muller       67      turino
papin          66      turino
eusebio        66      bologna
raul           66      turino
kempes         66      venezia
mancini        66      bologna
conti          66      milano
player       goal assist score
schmeichel     0     0     6.6000000000000005

maradona       1     1     6.4

beckham        2     2     6.300000000000001

klinsman       3     2     6.5

didi           2     6     6.9

brehme         0     1     6.2

blanc          3     1     6.5

cabrini        0     0     6.1000000000000005

p.rossi        1     1     6.1000000000000005

puskas         3     0     6.2

bergkemp       0     1     6.300000000000001

score 23 goal 15 number of fans 93
yashin         0     0     6.2

platini        1     3     6.5

ronaldinho     2     2     6.4

baresi         1     1     6.300000000000001

tostao         3     3     6.5

rensenbrink    2     2     6.5

m.laudrup      0     1     6.300000000000001

vialli         1     2     6.0

v.nistelrooy   2     0     6.4

lampard        3     1     6.300000000000001

pele           0     0     6.4

score 14 goal 15 number of fans 84
kahn           0     0     6.0

cantona        3     3     6.5

ronaldo        1     3     6.5

conti          2     4     6.6000000000000005

facchetti      2     2     6.5

rivera         1     2     6.5

keegan         3     1     6.1000000000000005

d.stifano      0     0     6.4

hurst          2     1     6.300000000000001

kaka           2     0     6.300000000000001

batistuta      3     3     6.4

score 18 goal 19 number of fans 86
buffon         0     0     6.0

daglish        5     5     6.800000000000001

papin          3     3     6.6000000000000005

raul           2     2     6.6000000000000005

g.muller       2     1     6.7

henry          0     1     6.4

careca         3     2     6.5

rijkaard       2     3     6.5

bierhoff       0     1     6.1000000000000005

donadoni       1     0     6.1000000000000005

cassano        1     1     6.1000000000000005

score 27 goal 19 number of fans 102
chilavert      0     0     6.4

cruyff         0     2     6.2

v.basten       3     0     6.5

garrincha      1     4     6.2

zico           2     2     6.300000000000001

gascoigne      1     1     6.5

kempes         4     4     6.6000000000000005

socrates       2     1     6.0

r.baggio       1     0     6.4

totti          1     0     6.0

g.weah         0     1     6.2

score 17 goal 15 number of fans 81
zenga          0     0     6.1000000000000005

beckenbauer    2     3     6.4

nedved         2     1     6.4

zidane         1     2     6.4

ballack        3     2     6.4

stoichkov      2     0     6.4

hagi           0     1     6.1000000000000005

desaily        4     1     6.800000000000001

h.shanchez     2     2     6.300000000000001

neeskens       0     4     6.5

r.keane        1     1     6.2

score 23 goal 17 number of fans 93
banks          0     0     6.300000000000001

eusebio        0     2     6.6000000000000005

b.chalton      3     1     6.4

g.best         1     3     6.4

kopa           1     0     6.0

crespo         3     4     6.5

canavaro       4     1     6.5

mancini        3     1     6.6000000000000005

trezeguet      0     2     6.0

b.laudrup      2     2     6.300000000000001

vieri          1     2     6.0

score 16 goal 18 number of fans 82
zoff           0     0     6.300000000000001

gullit         1     1     6.300000000000001

maldini        2     1     6.5

b.moore        1     0     6.1000000000000005

r.koeman       2     2     6.300000000000001

owen           2     1     6.300000000000001

p.falcao       3     2     6.5

matthaeus      1     1     6.1000000000000005

shevchenko     0     1     6.300000000000001

deisler        0     2     6.300000000000001

stam           1     2     6.300000000000001

score 17 goal 13 number of fans 70
brehme from firenze to barcelona
pele from barcelona to firenze
keegan from milano to turino
henry from turino to milano
r.baggio from venezia to marsiglia
desaily from marsiglia to venezia
trezeguet from bologna to genoa
b.moore from genoa to bologna
######################################################################
#######################################################################
########################################################################
4
team      round score goal  fan
turino    14    27    19    102
marsiglia 14    23    17    93
firenze   14    23    15    93
milano    14    18    19    86
venezia   14    17    15    81
genoa     14    17    13    70
bologna   14    16    18    82
barcelona 14    14    15    84
name           goal   team
daglish        5      turino
kempes         4      venezia
desaily        4      marsiglia
canavaro       4      bologna
lampard        3      barcelona
cantona        3      milano
keegan         3      milano
batistuta      3      milano
klinsman       3      firenze
papin          3      turino
name           assist team
didi           6      firenze
daglish        5      turino
crespo         4      bologna
conti          4      milano
kempes         4      venezia
garrincha      4      venezia
neeskens       4      marsiglia
rijkaard       3      turino
batistuta      3      milano
beckenbauer    3      marsiglia
name           score  team
didi           69      firenze
daglish        68      turino
desaily        68      marsiglia
g.muller       67      turino
papin          66      turino
raul           66      turino
eusebio        66      bologna
mancini        66      bologna
conti          66      milano
kempes         66      venezia
player       goal assist score
schmeichel     0     0     6.6000000000000005

maradona       1     1     6.4

beckham        2     2     6.300000000000001

klinsman       3     2     6.5

didi           2     6     6.9

brehme         0     1     6.2

blanc          3     1     6.5

cabrini        0     0     6.1000000000000005

p.rossi        1     1     6.1000000000000005

puskas         3     0     6.2

bergkemp       0     1     6.300000000000001

score 23 goal 15 number of fans 93
yashin         0     0     6.2

platini        1     3     6.5

ronaldinho     2     2     6.4

baresi         1     1     6.300000000000001

tostao         3     3     6.5

rensenbrink    2     2     6.5

m.laudrup      0     1     6.300000000000001

vialli         1     2     6.0

v.nistelrooy   2     0     6.4

lampard        3     1     6.300000000000001

pele           0     0     6.4

score 14 goal 15 number of fans 84
kahn           0     0     6.0

cantona        3     3     6.5

ronaldo        1     3     6.5

conti          2     4     6.6000000000000005

facchetti      2     2     6.5

rivera         1     2     6.5

keegan         3     1     6.1000000000000005

d.stifano      0     0     6.4

hurst          2     1     6.300000000000001

kaka           2     0     6.300000000000001

batistuta      3     3     6.4

score 18 goal 19 number of fans 86
buffon         0     0     6.0

daglish        5     5     6.800000000000001

papin          3     3     6.6000000000000005

raul           2     2     6.6000000000000005

g.muller       2     1     6.7

henry          0     1     6.4

careca         3     2     6.5

rijkaard       2     3     6.5

bierhoff       0     1     6.1000000000000005

donadoni       1     0     6.1000000000000005

cassano        1     1     6.1000000000000005

score 27 goal 19 number of fans 102
chilavert      0     0     6.4

cruyff         0     2     6.2

v.basten       3     0     6.5

garrincha      1     4     6.2

zico           2     2     6.300000000000001

gascoigne      1     1     6.5

kempes         4     4     6.6000000000000005

socrates       2     1     6.0

r.baggio       1     0     6.4

totti          1     0     6.0

g.weah         0     1     6.2

score 17 goal 15 number of fans 81
zenga          0     0     6.1000000000000005

beckenbauer    2     3     6.4

nedved         2     1     6.4

zidane         1     2     6.4

ballack        3     2     6.4

stoichkov      2     0     6.4

hagi           0     1     6.1000000000000005

desaily        4     1     6.800000000000001

h.shanchez     2     2     6.300000000000001

neeskens       0     4     6.5

r.keane        1     1     6.2

score 23 goal 17 number of fans 93
banks          0     0     6.300000000000001

eusebio        0     2     6.6000000000000005

b.chalton      3     1     6.4

g.best         1     3     6.4

kopa           1     0     6.0

crespo         3     4     6.5

canavaro       4     1     6.5

mancini        3     1     6.6000000000000005

trezeguet      0     2     6.0

b.laudrup      2     2     6.300000000000001

vieri          1     2     6.0

score 16 goal 18 number of fans 82
zoff           0     0     6.300000000000001

gullit         1     1     6.300000000000001

maldini        2     1     6.5

b.moore        1     0     6.1000000000000005

r.koeman       2     2     6.300000000000001

owen           2     1     6.300000000000001

p.falcao       3     2     6.5

matthaeus      1     1     6.1000000000000005

shevchenko     0     1     6.300000000000001

deisler        0     2     6.300000000000001

stam           1     2     6.300000000000001

score 17 goal 13 number of fans 70
cabrini from firenze to barcelona
lampard from barcelona to firenze
cantona from milano to turino
cassano from turino to milano
garrincha from venezia to marsiglia
hagi from marsiglia to venezia
b.chalton from bologna to genoa
gullit from genoa to bologna
5
team      round score goal  fan
firenze   14    27    18    107
venezia   14    25    17    96
turino    14    21    16    105
bologna   14    21    12    87
milano    14    18    14    89
barcelona 14    18    11    85
genoa     14    15    12    73
marsiglia 14    6     7     75
name           goal   team
conti          5      milano
g.muller       4      turino
cruyff         4      venezia
hagi           4      venezia
klinsman       3      firenze
m.laudrup      3      barcelona
papin          3      turino
owen           3      genoa
trezeguet      3      bologna
beckham        3      firenze
name           assist team
raul           6      turino
cruyff         5      venezia
daglish        4      turino
ronaldinho     3      barcelona
blanc          3      firenze
didi           3      firenze
hagi           3      venezia
klinsman       3      firenze
keegan         3      milano
rensenbrink    2      barcelona
name           score  team
blanc          725      firenze
cruyff         718      venezia
klinsman       703      firenze
g.muller       697      turino
stam           696      genoa
ronaldo        693      milano
g.best         690      bologna
raul           690      turino
kaka           689      milano
maradona       689      firenze
player       goal assist score
buffon         0     0     64.4

daglish        2     4     66.2

papin          3     1     67.9

raul           2     6     69.0

g.muller       4     1     69.7

henry          0     0     64.4

careca         1     1     65.0

rijkaard       2     0     66.8

bierhoff       0     1     67.2

donadoni       1     1     66.5

cantona        1     1     64.2

score 21 goal 16 number of fans 105
zenga          0     0     62.2

beckenbauer    2     1     66.9

nedved         2     0     67.60000000000001

zidane         1     1     66.3

ballack        0     0     64.0

stoichkov      0     1     64.7

garrincha      1     2     65.0

desaily        0     0     65.7

h.shanchez     0     0     62.800000000000004

neeskens       0     1     65.7

r.keane        1     1     64.60000000000001

score 6 goal 7 number of fans 75
schmeichel     0     0     65.7

maradona       2     2     68.9

beckham        3     1     67.5

klinsman       3     3     70.3

didi           2     3     67.10000000000001

brehme         0     1     64.3

blanc          2     3     72.5

lampard        3     1     64.7

p.rossi        1     2     67.2

puskas         2     2     65.10000000000001

bergkemp       0     0     63.900000000000006

score 27 goal 18 number of fans 107
kahn           0     0     63.6

cassano        1     1     62.2

ronaldo        2     1     69.3

conti          5     2     68.3

facchetti      2     1     67.9

rivera         1     1     64.7

keegan         1     3     67.7

d.stifano      0     2     64.0

hurst          0     2     64.3

kaka           2     1     68.9

batistuta      0     0     65.4

score 18 goal 14 number of fans 89
chilavert      0     0     64.8

cruyff         4     5     71.8

v.basten       1     1     66.8

hagi           4     3     68.3

zico           2     1     68.2

gascoigne      0     2     63.900000000000006

kempes         0     0     65.8

socrates       1     1     68.60000000000001

r.baggio       2     1     67.2

totti          1     1     64.60000000000001

g.weah         2     2     67.10000000000001

score 25 goal 17 number of fans 96
zoff           0     0     64.60000000000001

b.chalton      3     0     64.8

maldini        2     1     67.5

b.moore        0     2     66.10000000000001

r.koeman       0     1     64.7

owen           3     2     67.60000000000001

p.falcao       0     2     65.0

matthaeus      0     1     66.4

shevchenko     3     1     66.4

deisler        0     1     66.5

stam           1     1     69.60000000000001

score 15 goal 12 number of fans 73
banks          0     0     63.300000000000004

eusebio        1     2     66.5

gullit         2     1     66.10000000000001

g.best         1     2     69.0

kopa           1     2     65.4

crespo         2     0     66.8

canavaro       0     0     64.4

mancini        1     2     66.9

trezeguet      3     1     67.60000000000001

b.laudrup      1     1     64.4

vieri          0     1     65.0

score 21 goal 12 number of fans 87
yashin         0     0     62.900000000000006

platini        1     1     65.0

ronaldinho     3     3     66.10000000000001

baresi         1     1     66.10000000000001

tostao         0     0     64.3

rensenbrink    3     2     66.5

m.laudrup      3     1     68.2

vialli         0     0     65.7

v.nistelrooy   0     1     68.2

cabrini        0     1     64.3

pele           0     1     64.0

score 18 goal 11 number of fans 85
bierhoff from turino to marsiglia
ballack from marsiglia to turino
brehme from firenze to milano
hurst from milano to firenze
v.basten from venezia to genoa
b.chalton from genoa to venezia
trezeguet from bologna to barcelona
ronaldinho from barcelona to bologna
###################################################################
###################################################################
####################################################################6
team      round score goal  fan
milano    14    24    12    95
genoa     14    23    13    84
bologna   14    19    16    93
marsiglia 14    19    13    82
barcelona 14    18    14    88
firenze   14    15    9     95
venezia   14    15    9     88
turino    14    13    13    96
name           goal   team
vialli         4      barcelona
gullit         4      bologna
tostao         3      barcelona
r.koeman       3      genoa
p.falcao       3      genoa
b.laudrup      3      bologna
d.stifano      3      milano
neeskens       3      marsiglia
g.muller       3      turino
daglish        2      turino
name           assist team
stoichkov      5      marsiglia
conti          4      milano
b.laudrup      4      bologna
daglish        3      turino
deisler        3      genoa
cabrini        3      barcelona
cruyff         2      venezia
platini        2      barcelona
r.koeman       2      genoa
d.stifano      2      milano
name           score  team
p.falcao       718      genoa
henry          718      turino
conti          711      milano
raul           708      turino
ronaldo        701      milano
keegan         700      milano
vialli         690      barcelona
tostao         689      barcelona
daglish        687      turino
gullit         686      bologna
player       goal assist score
schmeichel     0     0     66.8

maradona       0     1     63.900000000000006

beckham        1     1     64.8

klinsman       1     1     67.2

didi           0     0     65.4

hurst          2     2     65.10000000000001

blanc          0     1     68.3

lampard        1     1     63.900000000000006

p.rossi        2     1     68.3

puskas         1     1     66.5

bergkemp       1     0     65.5

score 15 goal 9 number of fans 95
chilavert      0     0     63.900000000000006

cruyff         2     2     67.5

b.chalton      1     1     65.8

hagi           0     1     66.10000000000001

zico           0     2     64.3

gascoigne      0     0     63.900000000000006

kempes         2     1     67.9

socrates       1     0     66.10000000000001

r.baggio       1     1     65.3

totti          0     0     66.10000000000001

g.weah         2     1     68.0

score 15 goal 9 number of fans 88
buffon         0     0     64.60000000000001

daglish        2     3     68.7

papin          2     2     68.5

raul           1     0     70.8

g.muller       3     0     65.7

henry          2     1     71.8

careca         1     2     65.8

rijkaard       1     0     65.0

ballack        1     2     64.4

donadoni       0     1     62.300000000000004

cantona        0     2     62.5

score 13 goal 13 number of fans 96
banks          0     0     64.3

eusebio        1     2     65.10000000000001

gullit         4     1     68.60000000000001

g.best         1     1     66.8

kopa           2     1     66.8

crespo         1     2     67.5

canavaro       1     1     66.4

mancini        1     2     66.10000000000001

ronaldinho     0     2     63.300000000000004

b.laudrup      3     4     68.5

vieri          2     0     66.2

score 19 goal 16 number of fans 93
kahn           0     0     61.800000000000004

cassano        0     0     62.900000000000006

ronaldo        0     1     70.10000000000001

conti          2     4     71.10000000000001

facchetti      2     0     65.0

rivera         1     1     66.5

keegan         1     1     70.0

d.stifano      3     2     67.9

brehme         1     1     66.10000000000001

kaka           1     1     66.8

batistuta      1     1     65.10000000000001

score 24 goal 12 number of fans 95
yashin         0     0     64.4

platini        2     2     66.4

trezeguet      0     0     65.9

baresi         1     2     67.2

tostao         3     1     68.9

rensenbrink    1     2     64.2

m.laudrup      1     0     65.5

vialli         4     1     69.0

v.nistelrooy   1     2     66.10000000000001

cabrini        0     3     64.7

pele           1     1     68.60000000000001

score 18 goal 14 number of fans 88
zoff           0     0     63.900000000000006

v.basten       2     1     66.4

maldini        1     2     66.10000000000001

b.moore        0     0     65.3

r.koeman       3     2     68.60000000000001

owen           0     0     61.7

p.falcao       3     2     71.8

matthaeus      1     2     66.2

shevchenko     1     0     67.2

deisler        2     3     66.3

stam           0     1     65.0

score 23 goal 13 number of fans 84
zenga          0     0     65.4

beckenbauer    2     0     66.4

nedved         1     1     66.10000000000001

zidane         2     2     68.5

bierhoff       1     1     68.3

stoichkov      1     5     66.8

garrincha      2     1     65.0

desaily        1     0     65.8

h.shanchez     0     2     66.5

neeskens       3     0     65.7

r.keane        0     1     63.7

score 19 goal 13 number of fans 82
lampard from firenze to venezia
totti from venezia to firenze
cantona from turino to bologna
ronaldinho from bologna to turino
rivera from milano to barcelona
pele from barcelona to milano
owen from genoa to marsiglia
bierhoff from marsiglia to genoa
############################################################
##########################################################
####################################################
cup winner: marsiglia
league winner: milano
league winner: firenze
7
team      round score goal  fan
firenze   22    39    42    146
barcelona 22    35    39    139
genova    20    31    31    123
milano    20    29    35    132
venezia   14    18    19    97
bologna   14    15    18    98
turino    14    15    13    93
marsiglia 14    13    19    95
zagabria  6     10    14    10
cartagine 6     10    14    10
gibilterra6     8     6     10
iaracia   6     5     6     20
name           goal   team
blanc          9      firenze
puskas         7      firenze
baresi         6      barcelona
kaka           6      milano
d.stifano      6      milano
zidane         6      marsiglia
totti          6      firenze
cassano        6      milano
brehme         6      milano
cabrini        5      barcelona
name           assist team
puskas         9      firenze
platini        9      barcelona
maldini        7      genova
maradona       7      firenze
batistuta      7      milano
d.stifano      7      milano
didi           6      firenze
vialli         6      barcelona
cantona        6      bologna
matthaeus      5      genova
name           score  team
maldini        722      genova
henry          704      turino
zidane         703      marsiglia
blanc          700      firenze
baresi         696      barcelona
kaka           695      milano
platini        695      barcelona
cantona        694      bologna
maradona       693      firenze
p.rossi        688      firenze
player       goal assist score
schmeichel     0     0     66.5

maradona       4     7     69.3

beckham        1     4     65.7

klinsman       5     5     66.5

didi           4     6     68.0

hurst          5     3     66.0

blanc          9     2     70.0

totti          6     3     67.0

p.rossi        3     4     68.8

puskas         7     9     68.0

bergkemp       3     4     67.5

score 39 goal 42 number of fans 146
banks          0     0     64.5

platini        3     9     69.5

trezeguet      3     1     64.8

baresi         6     4     69.60000000000001

tostao         4     5     68.8

rensenbrink    5     4     68.3

m.laudrup      2     5     68.3

vialli         3     6     67.60000000000001

v.nistelrooy   4     2     67.3

cabrini        5     1     66.7

rivera         4     2     64.5

score 35 goal 39 number of fans 139
zoff           0     0     63.900000000000006

v.basten       4     3     68.4

maldini        4     7     72.2

b.moore        4     2     67.9

r.koeman       3     2     66.60000000000001

bierhoff       3     0     65.3

p.falcao       2     3     67.10000000000001

matthaeus      3     5     66.3

shevchenko     2     2     66.0

deisler        3     4     67.60000000000001

stam           3     3     66.0

score 31 goal 31 number of fans 123
kahn           0     0     64.3

cassano        6     3     65.7

ronaldo        4     2     68.10000000000001

conti          1     4     68.0

facchetti      3     3     65.8

pele           2     2     65.0

keegan         1     5     67.8

d.stifano      6     7     68.10000000000001

brehme         6     2     65.0

kaka           6     4     69.5

batistuta      4     7     64.60000000000001

score 29 goal 35 number of fans 132
zenga          0     0     66.10000000000001

cruyff         2     4     67.5

b.chalton      2     0     64.3

hagi           2     3     68.0

zico           2     2     68.60000000000001

gascoigne      1     1     62.5

kempes         2     0     66.8

socrates       3     3     68.7

r.baggio       1     2     68.2

lampard        3     3     66.10000000000001

g.weah         1     1     66.8

score 18 goal 19 number of fans 97
yashin         0     0     65.0

eusebio        1     1     66.10000000000001

gullit         2     3     66.5

g.best         2     3     66.10000000000001

kopa           4     1     68.7

crespo         2     1     66.5

canavaro       2     1     67.2

mancini        3     1     65.10000000000001

cantona        1     6     69.4

b.laudrup      1     2     66.4

vieri          2     1     65.4

score 15 goal 18 number of fans 98
buffon         0     0     66.5

daglish        1     2     68.2

papin          2     2     65.4

raul           0     1     65.3

g.muller       2     3     66.8

henry          3     3     70.4

careca         0     2     64.60000000000001

rijkaard       1     0     67.2

ballack        0     0     65.4

donadoni       2     0     65.0

ronaldinho     2     0     66.9

score 15 goal 13 number of fans 93
chilavert      0     0     66.7

beckenbauer    5     0     67.9

nedved         2     4     66.8

zidane         6     3     70.3

owen           2     4     66.7

stoichkov      0     2     65.0

garrincha      3     3     65.8

desaily        1     2     67.60000000000001

h.shanchez     2     1     67.60000000000001

neeskens       1     1     64.3

r.keane        0     2     61.7

score 13 goal 19 number of fans 95
hurst from firenze to barcelona
rivera from barcelona to firenze
shevchenko from genova to milano
ronaldo from milano to genova
zico from venezia to bologna
crespo from bologna to venezia
papin from turino to marsiglia
r.keane from marsiglia to turino
f22 from zagabria to cartagine
f23 from cartagine to zagabria
m21 from gibilterra to iaracia
b20 from iaracia to gibilterra
################################################################
################################################################
################################################################
cup winner: turino
league winner: milano
